,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
471,472,qoldg2nGQPWHtImt0gR7UQ05971664899168,,,202210040365,,,F606-后泥板支架连接_,LL.03.05162,F606-后泥板支架连接,,个,975,2022-10-05,2022-10-06,"C-单冲模-落料,C-一次成型",,,C,2022-10-05,,进行中,C组,C组,,F606-后泥板支架连接_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-后泥板支架连接_
472,473,kFwLvr1BTDOe8CH7qR6ydA05971664899168,,,202210040387,,,Q1-双撑加强板_,电瓶车-两轮.成品.04557,Q1-双撑加强板,,个,5000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-双撑加强板_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,Q1-双撑加强板_
473,474,RVxPhPiJQzaisjisTgdijA05971664899168,,,202210040372,,,F606-主梁管加强_,电瓶车-两轮.成品.04364,F606-主梁管加强,,个,5000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-主梁管加强_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-主梁管加强_
474,475,CZGRT8LXQKmR-wme0zD1mw05971664899168,,,202210040368,,,F606-前保险杠支架_,电瓶车-两轮.成品.04359,F606-前保险杠支架,,个,5000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,F606-前保险杠支架_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-前保险杠支架_
475,476,oA0fGkm8SRGPtZGiPpbhPw05971664899168,,,202210040366,,,F606-货架支架右_,电瓶车-两轮.成品.04357,F606-货架支架右,,个,3000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D,2022-10-05,,进行中,D组,D组,,F606-货架支架右_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-货架支架右_
476,477,rPxvLYfhQBaUO4ZvDDa6BQ05971664899168,,,202210040363,,,F606-搁脚支架右_,电瓶车-两轮.成品.04355,F606-搁脚支架右,,个,3000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-搁脚支架右_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-搁脚支架右_
477,478,sZbP3E9MRQqsvphjayrcQw05971664899168,,,202210040361,,,F606-电池盒前托条_,电瓶车-两轮.成品.04353,F606-电池盒前托条,,个,3015,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-电池盒前托条_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-电池盒前托条_
478,479,D5oMASNmQJqQu_8M7qeQ3A05971664899168,,,202210040377,,,JP500DZH-24.9.3-3座垫固定扁铁/神龙10_,电瓶车-三轮.成品.02529,JP500DZH-24.9.3-3座垫固定扁铁/神龙10,,个,8000,2022-10-05,2022-10-06,A-连续模下料,,,A,2022-10-05,,进行中,A组,A组,,JP500DZH-24.9.3-3座垫固定扁铁/神龙10_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,JP500DZH-24.9.3-3座垫固定扁铁/神龙10_
479,480,Lj2M2hwgQ6eZK0js0JONAA05971664899168,,,202210040378,,,JP500DZH-4G.2-1加强板/神龙11F/大三角_,电瓶车-三轮.成品.02530,JP500DZH-4G.2-1加强板/神龙11F/大三角,,个,10000,2022-10-05,2022-10-06,A-单冲模-落料,,,A,2022-10-05,,进行中,A组,A组,,JP500DZH-4G.2-1加强板/神龙11F/大三角_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,JP500DZH-4G.2-1加强板/神龙11F/大三角_
480,481,2qwRbdZXTSC6aJ4g_pF4aw05971664899168,,,202210040358,,,F606-底托前支架_,电瓶车-两轮.成品.04351,F606-底托前支架,,个,10000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,F606-底托前支架_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-底托前支架_
481,482,xtBTM1s3QdaTDxXt3Hz0Bg05971664899168,,,202210040362,,,F606-电池盒中后托条_,电瓶车-两轮.成品.04354,F606-电池盒中后托条,,个,8324,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-电池盒中后托条_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-电池盒中后托条_
482,483,GYu0WWULQB23rWUMaoHi3A05971664899168,,,202210040374,,,F692-后衣架后支架_,电瓶车-两轮.成品.04386,F692-后衣架后支架,,个,1324,2022-10-05,2022-10-06,"C-单冲模-落料,C-一次成型",,,C,2022-10-05,,进行中,C组,C组,,F692-后衣架后支架_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F692-后衣架后支架_
483,484,kV7d-LOoRNKlR4YyUNdJlg05971664899168,,,202210040384,,,Q1-空开支架_,电瓶车-两轮.成品.04549,Q1-空开支架,,个,5000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,2022-10-05,已结束,D组,D组,,Q1-空开支架_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,Q1-空开支架_
484,485,vW2TWnLxQUuQC1agZ6qzAw05971664899168,,,202210040379,,,Q1-单撑板加强片_,电瓶车-两轮.成品.04529,Q1-单撑板加强片,,个,5000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,Q1-单撑板加强片_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,Q1-单撑板加强片_
485,486,KI2_CbkwTx-gZK_VL1accA05971664899168,,,202210040357,,,F606-96V电池压条A_,LL.03.05177,F606-96V电池压条A,,个,6000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-96V电池压条A_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-96V电池压条A_
486,487,ubssHgKXSYi3bpXrWJERhw05971664899168,,,202210040367,,,F606-货架支架左_,电瓶车-两轮.成品.04358,F606-货架支架左,,个,3000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D,2022-10-05,,进行中,D组,D组,,F606-货架支架左_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-货架支架左_
487,488,95oVYBCKTDSsu1-r0EKZFg05971664899168,,,202210040376,,,JP500DZH-24.2-12气动撑杆连接片/神龙10_,电瓶车-三轮.成品.02537,JP500DZH-24.2-12气动撑杆连接片/神龙10,,个,10000,2022-10-05,2022-10-06,A-单冲模-落料,,,A,2022-10-05,,进行中,A组,A组,,JP500DZH-24.2-12气动撑杆连接片/神龙10_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,JP500DZH-24.2-12气动撑杆连接片/神龙10_
488,489,EnrN0IKxRqe06XGL4S74KA05971664899168,,,202210040386,,,Q1-平叉前支架左右_,电瓶车-两轮.成品.04554,Q1-平叉前支架左右,,个,3000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,Q1-平叉前支架左右_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,Q1-平叉前支架左右_
489,490,d4epAQo7QtmcoX1z9sr-9g05971664899168,,,202210040373,,,F606-座桶支架_,电瓶车-两轮.成品.04365,F606-座桶支架,,个,5000,2022-10-06,2022-10-07,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-座桶支架_,2022-10-05,2022-10-04 23:59:28,马清伟,机加车间,F606-座桶支架_
490,491,wUwTEzUpTTGP5yapBzHDKg05971664899168,,,202210040391,,,Q1-座垫锁板支架_,电瓶车-两轮.成品.04564,Q1-座垫锁板支架,,个,2000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型,C-二次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-座垫锁板支架_,2022-10-07,2022-10-04 23:59:28,马清伟,机加车间,Q1-座垫锁板支架_
491,492,MgGyPSR2QV25sHgL_uRhNA05971664899168,,,202210040393,,,Q312-双撑缓冲垫支架_,电瓶车-两轮.成品.04598,Q312-双撑缓冲垫支架,,个,7000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,Q312-双撑缓冲垫支架_,2022-10-07,2022-10-04 23:59:28,马清伟,机加车间,Q312-双撑缓冲垫支架_
492,493,68omFMIRR9SxDNQ5lK04hQ05971664899168,,,202210040382,,,Q1-脚蹬支架右_,电瓶车-两轮.成品.04546,Q1-脚蹬支架右,,个,3000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-脚蹬支架右_,2022-10-07,2022-10-04 23:59:28,马清伟,机加车间,Q1-脚蹬支架右_
493,494,UyIKcaM6SR6_x5ARpP4Olg05971664899168,,,202210040383,,,Q1-脚蹬支架左_,电瓶车-两轮.成品.04547,Q1-脚蹬支架左,,个,5252,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-脚蹬支架左_,2022-10-07,2022-10-04 23:59:28,马清伟,机加车间,Q1-脚蹬支架左_
494,495,QqapeGlDTEunqTQ4Zm8UGQ05971664899168,,,202210040370,,,F606-前脚踏横梁（老款）_,电瓶车-两轮.成品.04361,F606-前脚踏横梁（老款）,,个,5000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,F606-前脚踏横梁（老款）_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,F606-前脚踏横梁（老款）_
495,496,xep3OXDHRvG-A_2nR263QQ05971664899168,,,202210040380,,,Q1-电门锁支架_,电瓶车-两轮.成品.04534,Q1-电门锁支架,,个,6500,2022-10-05,2022-10-06,"D-连续模下料,C-攻丝,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-电门锁支架_,2022-10-07,2022-10-04 23:59:28,马清伟,机加车间,Q1-电门锁支架_
496,497,eKPsg-WATJKFe9VQbFxwlw05971664899168,,,202210040392,,,Q312-平叉吊耳新状态_,电瓶车-两轮.成品.04594,Q312-平叉吊耳新状态,,个,7300,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,Q312-平叉吊耳新状态_,2022-10-08,2022-10-04 23:59:28,马清伟,机加车间,Q312-平叉吊耳新状态_
497,498,UOMblLwUSXm-S8CXtdIJZg05971664899168,,,202210040375,,,JP500DZH-24.2.5-3车厢固定板/神龙10_,电瓶车-三轮.成品.02534,JP500DZH-24.2.5-3车厢固定板/神龙10,,个,14000,2022-10-05,2022-10-06,"A-单冲模-落料,A-一次成型",,,A,2022-10-05,,进行中,A组,A组,,JP500DZH-24.2.5-3车厢固定板/神龙10_,2022-10-08,2022-10-04 23:59:28,马清伟,机加车间,JP500DZH-24.2.5-3车厢固定板/神龙10_
498,499,kVImKSzySSK9FQJks8OnvQ05971664899168,,,202210040381,,,Q1-挂钩支架_,电瓶车-两轮.成品.04535,Q1-挂钩支架,,个,3500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,2022-10-08,已结束,D组,D组,,Q1-挂钩支架_,2022-10-04,2022-10-04 23:59:28,马清伟,机加车间,Q1-挂钩支架_
499,500,ZqItD_XVRz-z1BcUqS_WKQ05971664899168,,,202210040385,,,Q1-喇叭支架_,电瓶车-两轮.成品.04550,Q1-喇叭支架,,个,10000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,Q1-喇叭支架_,2022-10-08,2022-10-04 23:59:28,马清伟,机加车间,Q1-喇叭支架_
500,501,YdoTjT78Rne5qtDXgS8BiQ05971664899168,,,202210040390,,,Q1-主梁管包皮_,电瓶车-两轮.成品.04563,Q1-主梁管包皮,,个,6697,2022-10-05,2022-10-06,"D-连续模出成品,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-主梁管包皮_,2022-10-08,2022-10-04 23:59:28,马清伟,机加车间,Q1-主梁管包皮_
501,502,bHKy0DLOQquu2DIU_sZYzg05971664899168,,,202210040388,,,Q1-双撑脚底片右_,电瓶车-两轮.成品.04558,Q1-双撑脚底片右,,个,7200,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-双撑脚底片右_,2022-10-09,2022-10-04 23:59:28,马清伟,机加车间,Q1-双撑脚底片右_
502,503,yVpTrpzwSMmqanW4ZMn9lQ05971664899168,,,202210040389,,,Q1-双撑脚底片左_,电瓶车-两轮.成品.04559,Q1-双撑脚底片左,,个,7000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q1-双撑脚底片左_,2022-10-09,2022-10-04 23:59:28,马清伟,机加车间,Q1-双撑脚底片左_
503,504,ksxv8hP3Seuy2HkPWp0zzQ05971664899168,,,202210040369,,,F606-前保险杠支架连接_,电瓶车-两轮.成品.04360,F606-前保险杠支架连接,,个,5000,2022-10-06,2022-10-07,"D-连续模下料,C-一次成型,C-二次成型",,,D+C,2022-10-05,,进行中,D组,D组,,F606-前保险杠支架连接_,2022-10-09,2022-10-04 23:59:28,马清伟,机加车间,F606-前保险杠支架连接_
504,505,myWoMYtATNSq-GZ6er6LgQ05971664899167,,,202210040337,,,DQ1-空开支架_,电瓶车-两轮.成品.04274,DQ1-空开支架,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-空开支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-空开支架_
505,506,fsANehd_QYGnieVfQtp61Q05971664899167,,,202210040339,,,DQ1-前叉限位块_,电瓶车-两轮.成品.04276,DQ1-前叉限位块,,个,1500,2022-10-05,2022-10-06,"C-单冲模-落料,C-一次成型",,,C,2022-10-05,,进行中,C组,C组,,DQ1-前叉限位块_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-前叉限位块_
506,507,2ym8KbmORu-VtGDFhEZXzQ05971664899167,,,202210040330,,,DQ1-后坐垫固定支架_,电瓶车-两轮.成品.04265,DQ1-后坐垫固定支架,,个,3000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-后坐垫固定支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-后坐垫固定支架_
507,508,KPPyhdC8QeuXx5dxFc_fsA05971664899167,,,202210040356,,,F606-96V/72V电池压条后支架_,电瓶车-两轮.成品.04349,F606-96V/72V电池压条后支架,,个,5000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,F606-96V/72V电池压条后支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,F606-96V/72V电池压条后支架_
508,509,CegrT9JoThO2E7DvYv5eaA05971664899167,,,202210040323,,,DQ1-800W/500W双撑脚底片左右_,电瓶车-两轮.成品.04249,DQ1-800W/500W双撑脚底片左右,,个,3000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-800W/500W双撑脚底片左右_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-800W/500W双撑脚底片左右_
509,510,aFRSTpE2Twmdq65LB1uuyA05971664899167,,,202210040326,,,DQ1-单撑板_,电瓶车-两轮.成品.04256,DQ1-单撑板,,个,1500,2022-10-05,2022-10-06,"C-单冲模-落料,C-单冲模-冲孔,C-一次成型",,,C,2022-10-05,,进行中,C组,C组,,DQ1-单撑板_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-单撑板_
510,511,TbacXk_NTjW2dhxYeLvxbQ05971664899167,,,202210040333,,,DQ1-减震支架右_,电瓶车-两轮.成品.04268,DQ1-减震支架右,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-减震支架右_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-减震支架右_
511,512,fTPSJM2zQAScsgMjaBlQoA05971664899167,,,202210040329,,,DQ1-后加强支架_,电瓶车-两轮.成品.04264,DQ1-后加强支架,,个,3000,2022-10-05,2022-10-06,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,DQ1-后加强支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-后加强支架_
512,513,f9HTcV0oTyyAloma7aDHjQ05971664899167,,,202210040335,,,DQ1-脚踏板固定通用件_,电瓶车-两轮.成品.04270,DQ1-脚踏板固定通用件,,个,9000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-脚踏板固定通用件_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-脚踏板固定通用件_
513,514,V-qWcbjFQNKEYWKBrBu82Q05971664899167,,,202210040317,,,35锁芯连接片_,锁配件.成品.03125,35锁芯连接片,,个,15000,2022-10-05,2022-10-06,E-单冲模-落料,,,E,2022-10-05,,进行中,E组,E组,,35锁芯连接片_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,35锁芯连接片_
514,515,qo_u1BAbRAGLngTeD_W48Q05971664899167,,,202210040320,,,A808-后泥板安装支架_,电瓶车-两轮.成品.04226,A808-后泥板安装支架,,个,1017,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,A808-后泥板安装支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,A808-后泥板安装支架_
515,516,HSlYlLfNTtuUXmGHRIsZAA05971664899167,,,202210040341,,,DQ1-座桶支架_,电瓶车-两轮.成品.04288,DQ1-座桶支架,,个,1500,2022-10-05,2022-10-06,"D-连续模下料,C-攻丝",,,D+C,2022-10-05,,进行中,D组,D组,,DQ1-座桶支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-座桶支架_
516,517,6_YtR_feSYCfRmwLRjFzNw05971664899167,,,202210040332,,,DQ1-后坐垫前支架_,电瓶车-两轮.成品.04267,DQ1-后坐垫前支架,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-后坐垫前支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-后坐垫前支架_
517,518,-1quA5FZRNeCq4kLQ6TBqQ05971664899167,,,202210040322,,,DQ1-800W/500W平叉内泥板左右支架_,电瓶车-两轮.成品.04247,DQ1-800W/500W平叉内泥板左右支架,,个,3000,2022-10-05,2022-10-06,D-连续模出成品,,,C,2022-10-05,,进行中,C组,C组,,DQ1-800W/500W平叉内泥板左右支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-800W/500W平叉内泥板左右支架_
518,519,UhIMxVlER32FcIOibtjaVw05971664899167,,,202210040340,,,DQ1-主梁管包皮_,电瓶车-两轮.成品.04287,DQ1-主梁管包皮,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-主梁管包皮_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-主梁管包皮_
519,520,dWR8LvF0QDGdFrh8rWm-_g05971664899167,,,202210040319,,,A808-单撑板_,LL.03.05160,A808-单撑板,,个,5000,2022-10-05,2022-10-06,C-单冲模-落料,,,C,2022-10-05,,进行中,C组,C组,,A808-单撑板_,2022-10-05,2022-10-04 23:59:27,马清伟,机加车间,A808-单撑板_
520,521,Ex3rNJV1Qt6Yr4wJmJsguw05971664899167,,,202210040336,,,DQ1-空开连接支架_,电瓶车-两轮.成品.04273,DQ1-空开连接支架,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-空开连接支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-空开连接支架_
521,522,HfeNLvabS9q5hxaTJ0ppFA05971664899167,,,202210040318,,,A808-96V/72V电池压条压块_,电瓶车-两轮.成品.04218,A808-96V/72V电池压条压块,,个,2950,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,2022-10-05,已结束,D组,D组,,A808-96V/72V电池压条压块_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,A808-96V/72V电池压条压块_
522,523,Lg6tk9xsTcKRLHFYb11X1A05971664899167,,,202210040334,,,DQ1-减震支架左_,电瓶车-两轮.成品.04269,DQ1-减震支架左,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-减震支架左_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-减震支架左_
523,524,FwPsgc_ER1627hAlKepRMw05971664899167,,,202210040324,,,DQ1-800W/500W双撑限位片_,电瓶车-两轮.成品.04250,DQ1-800W/500W双撑限位片,,个,1500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-800W/500W双撑限位片_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-800W/500W双撑限位片_
524,525,UUhODvSbS5OW3lbiOEECNg05971664899167,,,202210040338,,,DQ1-控制器支架_,电瓶车-两轮.成品.04275,DQ1-控制器支架,,个,1500,2022-10-05,2022-10-06,"D-连续模下料,C-攻丝,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,DQ1-控制器支架_,2022-10-04,2022-10-04 23:59:27,马清伟,机加车间,DQ1-控制器支架_
525,526,CY-24SLnTySCZhutNTlwPA05971664899167,,,202210040325,,,DQ1-800W/500双撑踩脚加强_,电瓶车-两轮.成品.04251,DQ1-800W/500双撑踩脚加强,,个,3500,2022-10-05,2022-10-06,"C-单冲模-落料,C-一次成型",,,C,2022-10-05,,进行中,C组,C组,,DQ1-800W/500双撑踩脚加强_,2022-10-06,2022-10-04 23:59:27,马清伟,机加车间,DQ1-800W/500双撑踩脚加强_
526,527,-bIsD-jUSR6wQi5KW0l6Hg05971664899167,,,202210040355,,,F107名牌支架_,电瓶车-两轮.成品.04303,F107名牌支架,,个,2500,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,F107名牌支架_,2022-10-07,2022-10-04 23:59:27,马清伟,机加车间,F107名牌支架_
527,528,iOSSx3bpTs6SnTNwtrcbeA05971664899167,,,202210040321,,,DQ1-500W/800W双撑缓冲垫支架_,电瓶车-两轮.成品.04241,DQ1-500W/800W双撑缓冲垫支架,,个,2000,2022-10-05,2022-10-06,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,DQ1-500W/800W双撑缓冲垫支架_,2022-10-12,2022-10-04 23:59:27,马清伟,机加车间,DQ1-500W/800W双撑缓冲垫支架_
528,529,btQhmXG2QJKLQMTFmyeyBw05971664897809,,,202210040298,,,M5导流支架_,电瓶车-两轮.成品.03369,M5导流支架,,个,3000,2022-10-06,2022-10-07,"D-连续模下料,C-一次成型,C-二次成型,C-攻丝",,,D+C,2022-10-05,,进行中,D组,D组,,M5导流支架_,2022-10-04,2022-10-04 23:36:49,马清伟,机加车间,M5导流支架_
529,530,wt9WiHEzR0ylYBFEmvoG1g05971664897809,,,202210040315,,,真谛防火门偏心铰链门框左右_,FD.03.04718,真谛防火门偏心铰链门框左右,,个,10000,2022-10-06,2022-10-07,"D-连续模下料,A-划孔,A-镀锌,A-压轴,A-打帽",,,D+A,2022-10-05,,进行中,D组,D组,,真谛防火门偏心铰链门框左右_,2022-10-05,2022-10-04 23:36:49,马清伟,机加车间,真谛防火门偏心铰链门框左右_
530,531,cShSAmROSJCcH0D_uboZXw05971664897809,,,202210040312,,,铰链装配（柜顶盖板）_,万控.成品.00656,铰链装配（柜顶盖板）,,个,30000,2022-10-06,2022-10-07,"D-连续模下料,E-铆接,E-镀锌",,,D+E,2022-10-05,,进行中,D组,D组,,铰链装配（柜顶盖板）_,2022-10-06,2022-10-04 23:36:49,马清伟,机加车间,铰链装配（柜顶盖板）_
531,532,FSio4YU9QGq44wdJ-hnmSg05971664897809,,,202210040308,,,Q312-平叉后支架左_,电瓶车-两轮.成品.04596,Q312-平叉后支架左,,个,6500,2022-10-06,2022-10-07,"D-连续模下料,C-一次成型",,,D+C,2022-10-04,,进行中,D组,D组,,Q312-平叉后支架左_,2022-10-07,2022-10-04 23:36:49,马清伟,机加车间,Q312-平叉后支架左_
532,533,KwytjBJxTMChVdjIjWoapw05971664897809,,,202210040307,,,Q312-平叉后支架右_,电瓶车-两轮.成品.04595,Q312-平叉后支架右,,个,6500,2022-10-06,2022-10-07,"D-连续模下料,C-一次成型",,,D+C,2022-10-05,,进行中,D组,D组,,Q312-平叉后支架右_,2022-10-07,2022-10-04 23:36:49,马清伟,机加车间,Q312-平叉后支架右_
533,534,3KVzxJZKRkKUeLXWF_wuNQ05971664897809,,,202210040311,,,活动吊耳/劲霸9G_,电瓶车-三轮.成品.02483,活动吊耳/劲霸9G,,个,42800,2022-10-06,2022-10-07,"D-连续模下料,A-镀锌,A-铆接",,,D+A,2022-10-05,,进行中,D组,D组,,活动吊耳/劲霸9G_,2022-10-11,2022-10-04 23:36:49,马清伟,机加车间,活动吊耳/劲霸9G_
534,535,m5WC84iyTXGvl9ZieUYRZw05971664897601,,,202210040233,,,门芯加强筋（腰型）/启航_,电瓶车-两轮.成品.03717,门芯加强筋（腰型）/启航,,个,3400,2022-10-07,2022-10-08,"A-单冲模-落料,A-一次成型",,,A,2022-10-05,,进行中,A组,A组,,门芯加强筋（腰型）/启航_,2022-10-04,2022-10-04 23:33:21,马清伟,机加车间,门芯加强筋（腰型）/启航_
535,536,ebfq5ctgTVSddhJzS7EDCg05971664897601,,,202210040246,,,小刀K11/25单撑包皮_,电瓶车-两轮.成品.04029,小刀K11/25单撑包皮,,个,900,2022-10-06,2022-10-07,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,小刀K11/25单撑包皮_,2022-10-04,2022-10-04 23:33:21,马清伟,机加车间,小刀K11/25单撑包皮_
536,537,lnogUV4tSw6gEWK9vQrGEg05971664897601,,,202210040253,,,鑫利达救灾折叠床圆弧铰链_,市场.成品.02958,鑫利达救灾折叠床圆弧铰链,,个,16400,2022-10-06,2022-10-07,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,鑫利达救灾折叠床圆弧铰链_,2022-10-04,2022-10-04 23:33:21,马清伟,机加车间,鑫利达救灾折叠床圆弧铰链_
537,538,HNoImpJLQsaPNnpyHiWR2g05971664897601,,,202210040241,,,裙边加强板/霸道1A_,电瓶车-三轮.成品.02645,裙边加强板/霸道1A,,个,12000,2022-10-07,2022-10-08,A-连续模下料,,,A,2022-10-05,,进行中,A组,A组,,裙边加强板/霸道1A_,2022-10-04,2022-10-04 23:33:21,马清伟,机加车间,裙边加强板/霸道1A_
538,539,L5yJDv7gRoK0K1N6vPokbw05971664897601,,,202210040255,,,鑫利达长铰链311*18*3_,市场.成品.03013,鑫利达长铰链311*18*3,,个,164000,2022-10-06,2022-10-07,D-连续模出成品,,,D,2022-10-05,,进行中,D组,D组,,鑫利达长铰链311*18*3_,2022-10-04,2022-10-04 23:33:21,马清伟,机加车间,鑫利达长铰链311*18*3_
